outroot,outno,fmtno,outdir,indir,gdem_dir,priordb,case,pass,day,smearing,land_sig0,water_sig0,gdem_name,notes,rtviz_url,refdem,refdem_res,tile
./output/sac,84,84,./output/sac/84,slc-sac/output_sac_pixc_dir_0249_single_10m/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE/pixel_cloud.nc,slc-sac/output_sim_sac_0249_single/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,249,220,50m,-5dB,10dB,gdem_truth.LeftSwath.nc,,,GDEM,10m,001L
./output/sac,85,85,./output/sac/85,slc-sac/output_sac_pixc_dir_0249_single_srtm_10m/GDEM_DEM_ellip_130_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE/pixel_cloud.nc,slc-sac/output_sim_sac_0249_single/GDEM_DEM_ellip_130_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,249,130,50m,-5dB,10dB,gdem_truth.LeftSwath.nc,,,SRTM,10m,001L
./output/sac,86,86,./output/sac/86,slc-sac/output_sac_pixc_dir_0249_single_srtm_10m/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE/pixel_cloud.nc,slc-sac/output_sim_sac_0249_single/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,249,220,50m,-5dB,10dB,gdem_truth.LeftSwath.nc,,,SRTM,10m,001L
./output/sac,87,87,./output/sac/87,slc-sac/output_sac_pixc_dir_0249_single_true-ref_10m/GDEM_DEM_ellip_130_0249/cycle_0001_pass_0249_001L_nlcd-100dB_water10dB_50m_CBE/pixel_cloud.nc,slc-sac/output_sim_sac_0249_single/GDEM_DEM_ellip_130_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,249,130,50m,-100dB,10dB,gdem_truth.LeftSwath.nc,,,GDEM,10m,001L
./output/sac,88,88,./output/sac/88,slc-sac/output_sac_pixc_dir_0249_single_true-ref_10m/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-100dB_water10dB_50m_CBE/pixel_cloud.nc,slc-sac/output_sim_sac_0249_single/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,249,220,50m,-100dB,10dB,gdem_truth.LeftSwath.nc,,,GDEM,10m,001L
./output/sac,89,89,./output/sac/89,slc-sac/output_sac_pixc_dir_0264_single_10m/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001L_nlcd-5dB_water10dB_50m_CBE/pixel_cloud.nc,slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001L_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,110,50m,-5dB,10dB,gdem_truth.LeftSwath.nc,,,GDEM,10m,001L
./output/sac,90,90,./output/sac/90,slc-sac/output_sac_pixc_dir_0264_single_10m/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE/pixel_cloud.nc,slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,110,50m,-5dB,10dB,gdem_truth.RightSwath.nc,,,GDEM,10m,001R
./output/sac,91,91,./output/sac/91,slc-sac/output_sac_pixc_dir_0264_single_srtm_10m/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001L_nlcd-5dB_water10dB_50m_CBE/pixel_cloud.nc,slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001L_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,110,50m,-5dB,10dB,gdem_truth.LeftSwath.nc,,,SRTM,10m,001L
./output/sac,92,92,./output/sac/92,slc-sac/output_sac_pixc_dir_0264_single_srtm_10m/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE/pixel_cloud.nc,slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,110,50m,-5dB,10dB,gdem_truth.RightSwath.nc,,,SRTM,10m,001R
./output/sac,93,93,./output/sac/93,slc-sac/output_sac_pixc_dir_0264_single_srtm_10m/GDEM_DEM_ellip_131_0264/cycle_0001_pass_0264_001L_nlcd-5dB_water10dB_50m_CBE/pixel_cloud.nc,slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_131_0264/cycle_0001_pass_0264_001L_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,131,50m,-5dB,10dB,gdem_truth.LeftSwath.nc,,,SRTM,10m,001L
./output/sac,94,94,./output/sac/94,slc-sac/output_sac_pixc_dir_0264_single_srtm_10m/GDEM_DEM_ellip_131_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE/pixel_cloud.nc,slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_131_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,131,50m,-5dB,10dB,gdem_truth.RightSwath.nc,,,SRTM,10m,001R
./output/sac,95,95,./output/sac/95,slc-sac/output_sac_pixc_dir_0264_single_srtm_10m/GDEM_DEM_ellip_221_0264/cycle_0001_pass_0264_001L_nlcd-5dB_water10dB_50m_CBE/pixel_cloud.nc,slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_221_0264/cycle_0001_pass_0264_001L_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,221,50m,-5dB,10dB,gdem_truth.LeftSwath.nc,,,SRTM,10m,001L
./output/sac,96,96,./output/sac/96,slc-sac/output_sac_pixc_dir_0264_single_srtm_10m/GDEM_DEM_ellip_221_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE/pixel_cloud.nc,slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_221_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,221,50m,-5dB,10dB,gdem_truth.RightSwath.nc,,,SRTM,10m,001R
./output/sac,97,97,./output/sac/97,slc-sac/output_sac_pixc_dir_0264_single_true-ref_10m/GDEM_DEM_ellip_131_0264/cycle_0001_pass_0264_001L_nlcd-100dB_water10dB_50m_CBE/pixel_cloud.nc,slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_131_0264/cycle_0001_pass_0264_001L_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,131,50m,-100dB,10dB,gdem_truth.LeftSwath.nc,,,GDEM,10m,001L
./output/sac,98,98,./output/sac/98,slc-sac/output_sac_pixc_dir_0264_single_true-ref_10m/GDEM_DEM_ellip_131_0264/cycle_0001_pass_0264_001R_nlcd-100dB_water10dB_50m_CBE/pixel_cloud.nc,slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_131_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,131,50m,-100dB,10dB,gdem_truth.RightSwath.nc,,,GDEM,10m,001R
./output/sac,99,99,./output/sac/99,slc-sac/output_sac_pixc_dir_0264_single_true-ref_10m/GDEM_DEM_ellip_221_0264/cycle_0001_pass_0264_001L_nlcd-100dB_water10dB_50m_CBE/pixel_cloud.nc,slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_221_0264/cycle_0001_pass_0264_001L_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,221,50m,-100dB,10dB,gdem_truth.LeftSwath.nc,,,GDEM,10m,001L
./output/sac,100,100,./output/sac/100,slc-sac/output_sac_pixc_dir_0264_single_true-ref_10m/GDEM_DEM_ellip_221_0264/cycle_0001_pass_0264_001R_nlcd-100dB_water10dB_50m_CBE/pixel_cloud.nc,slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_221_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,221,50m,-100dB,10dB,gdem_truth.RightSwath.nc,,,GDEM,10m,001R
./output/sac,101,101,./output/sac/101,slc-sac/output_sac_pixc_dir_0527_single_10m/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE/pixel_cloud.nc,slc-sac/output_sim_sac_0527_single/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,527,119,50m,-5dB,10dB,gdem_truth.RightSwath.nc,,,GDEM,10m,001R
./output/sac,102,102,./output/sac/102,slc-sac/output_sac_pixc_dir_0527_single_srtm_10m/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE/pixel_cloud.nc,slc-sac/output_sim_sac_0527_single/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,527,119,50m,-5dB,10dB,gdem_truth.RightSwath.nc,,,SRTM,10m,001R
./output/sac,103,103,./output/sac/103,slc-sac/output_sac_pixc_dir_0527_single_srtm_10m/GDEM_DEM_ellip_209_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE/pixel_cloud.nc,slc-sac/output_sim_sac_0527_single/GDEM_DEM_ellip_209_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,527,209,50m,-5dB,10dB,gdem_truth.RightSwath.nc,,,SRTM,10m,001R
./output/sac,104,104,./output/sac/104,slc-sac/output_sac_pixc_dir_0527_single_srtm_10m/GDEM_DEM_ellip_302_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE/pixel_cloud.nc,slc-sac/output_sim_sac_0527_single/GDEM_DEM_ellip_302_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,527,302,50m,-5dB,10dB,gdem_truth.RightSwath.nc,,,SRTM,10m,001R
./output/sac,105,105,./output/sac/105,slc-sac/output_sac_pixc_dir_0527_single_true-ref_10m/GDEM_DEM_ellip_209_0527/cycle_0001_pass_0527_001R_nlcd-100dB_water10dB_50m_CBE/pixel_cloud.nc,slc-sac/output_sim_sac_0527_single/GDEM_DEM_ellip_209_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,527,209,50m,-100dB,10dB,gdem_truth.RightSwath.nc,,,GDEM,10m,001R
./output/sac,106,106,./output/sac/106,slc-sac/output_sac_pixc_dir_0527_single_true-ref_10m/GDEM_DEM_ellip_302_0527/cycle_0001_pass_0527_001R_nlcd-100dB_water10dB_50m_CBE/pixel_cloud.nc,slc-sac/output_sim_sac_0527_single/GDEM_DEM_ellip_302_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,527,302,50m,-100dB,10dB,gdem_truth.RightSwath.nc,,,GDEM,10m,001R
